,키워드,언급수
0,제주,3180
1,여행,2242
2,제주도,2144
3,사진,1325
4,시간,1094
5,카페,1016
6,바다,853
7,서귀포,831
8,맛,782
9,서귀포시,774
10,숙소,697
11,사람,691
12,코스,656
13,추천,637
14,호텔,631
15,방문,621
16,맛집,556
17,주문,542
18,위치,506
19,뷰,431
20,가족,430
21,구경,405
22,메뉴,402
23,체험,399
24,예약,399
25,식당,386
26,주차장,384
27,주차,380
28,풍경,377
29,여름,376
30,오름,374
31,집,368
32,날씨,367
33,해변,351
34,해수욕장,342
35,돼지,337
36,커피,328
37,고기,324
38,음식,315
39,가격,311
40,갈치,308
41,입구,289
42,배,285
43,아침,283
44,저녁,277
45,박,276
46,밥,272
47,꽃,267
48,마지막,266
49,분위기,258
