,키워드,언급수
0,제주,2518
1,제주도,1571
2,여행,1398
3,제주시,1334
4,맛,1174
5,사진,1023
6,카페,945
7,맛집,929
8,시간,824
9,공항,688
10,주문,647
11,메뉴,636
12,방문,592
13,사람,549
14,추천,543
15,숙소,541
16,고기,529
17,식당,518
18,집,489
19,호텔,463
20,위치,462
21,바다,432
22,밥,402
23,가격,367
24,김밥,353
25,돼지,350
26,주차,346
27,커피,335
28,음식,335
29,시장,325
30,주차장,319
31,새우,317
32,마지막,314
33,우도,314
34,코스,309
35,예약,304
36,가게,288
37,식사,279
38,갈치,270
39,분위기,267
40,구경,265
41,저녁,263
42,먹기,257
43,뷰,251
44,아침,238
45,줄,236
46,역시,236
47,게,232
48,포장,225
49,국수,225
