,지역,키워드,언급수,월
0,강릉시,강릉,4799,12월
1,강릉시,여행,2233,12월
2,강릉시,바다,1649,12월
3,강릉시,해변,1192,12월
4,강릉시,커피,1111,12월
5,강릉시,카페,1103,12월
6,강릉시,사진,999,12월
7,강릉시,맛집,837,12월
8,강릉시,호텔,820,12월
9,강릉시,겨울,746,12월
10,강릉시,순두부,707,12월
11,강릉시,숙소,659,12월
12,강릉시,뷰,625,12월
13,강릉시,회,585,12월
14,강릉시,주차,520,12월
15,강릉시,집,485,12월
16,강릉시,빵,472,12월
17,강릉시,주문진,419,12월
18,강릉시,중앙시장,380,12월
19,강릉시,경포,371,12월
20,강릉시,정동진,368,12월
21,강릉시,밥,351,12월
22,강릉시,오션,341,12월
23,강릉시,아침,338,12월
24,강릉시,강원,335,12월
25,강릉시,짬뽕,315,12월
26,강릉시,동해,314,12월
27,강릉시,일출,314,12월
28,강릉시,친구,314,12월
29,강릉시,공원,307,12월
30,경주시,경주,4345,12월
31,경주시,여행,2138,12월
32,경주시,사진,1194,12월
33,경주시,카페,765,12월
34,경주시,맛집,717,12월
35,경주시,숙소,700,12월
36,경주시,월정교,621,12월
37,경주시,포토존,607,12월
38,경주시,첨성대,523,12월
39,경주시,주차,502,12월
40,경주시,대릉,484,12월
41,경주시,불국사,467,12월
42,경주시,가족,406,12월
43,경주시,호텔,403,12월
44,경주시,커피,391,12월
45,경주시,빵,387,12월
46,경주시,신라,382,12월
47,경주시,동궁,358,12월
48,경주시,겨울,353,12월
49,경주시,월지,350,12월
50,경주시,분위기,342,12월
51,경주시,마을,327,12월
52,경주시,야경,324,12월
53,경주시,펜션,321,12월
54,경주시,밥,316,12월
55,경주시,식당,311,12월
56,경주시,친구,303,12월
57,경주시,음식,289,12월
58,경주시,체험,286,12월
59,경주시,고기,283,12월
60,동해시,동해,865,12월
61,동해시,여행,550,12월
62,동해시,촛대바위,538,12월
63,동해시,바다,524,12월
64,동해시,스카이밸리,384,12월
65,동해시,동해시,381,12월
66,동해시,사진,331,12월
67,동해시,바위,303,12월
68,동해시,카페,288,12월
69,동해시,전망대,258,12월
70,동해시,묵호항,230,12월
71,동해시,묵호,227,12월
72,동해시,강원도,204,12월
73,동해시,등대,195,12월
74,동해시,맛집,179,12월
75,동해시,뷰,177,12월
76,동해시,호텔,162,12월
77,동해시,해변,156,12월
78,동해시,해랑,155,12월
79,동해시,삼척,155,12월
80,동해시,겨울,150,12월
81,동해시,강릉,147,12월
82,동해시,숙소,146,12월
83,동해시,해수욕장,142,12월
84,동해시,대게,137,12월
85,동해시,칼국수,125,12월
86,동해시,일출,124,12월
87,동해시,빵,122,12월
88,동해시,주차,119,12월
89,동해시,커피,113,12월
90,서귀포시,제주,3502,12월
91,서귀포시,여행,2461,12월
92,서귀포시,제주도,2154,12월
93,서귀포시,사진,1319,12월
94,서귀포시,동백꽃,951,12월
95,서귀포시,겨울,914,12월
96,서귀포시,카페,874,12월
97,서귀포시,서귀포시,837,12월
98,서귀포시,동백,592,12월
99,서귀포시,체험,579,12월
100,서귀포시,숙소,566,12월
101,서귀포시,바다,550,12월
102,서귀포시,귤,507,12월
103,서귀포시,맛집,452,12월
104,서귀포시,돼지,448,12월
105,서귀포시,호텔,429,12월
106,서귀포시,주차,418,12월
107,서귀포시,크리스마스,373,12월
108,서귀포시,꽃,368,12월
109,서귀포시,뷰,366,12월
110,서귀포시,풍경,366,12월
111,서귀포시,고기,364,12월
112,서귀포시,포토,350,12월
113,서귀포시,날씨,346,12월
114,서귀포시,갈치,335,12월
115,서귀포시,감귤,334,12월
116,서귀포시,가족,313,12월
117,서귀포시,친구,293,12월
118,서귀포시,한라산,288,12월
119,서귀포시,식당,280,12월
120,속초시,속초,1489,12월
121,속초시,여행,635,12월
122,속초시,바다,373,12월
123,속초시,강원도,296,12월
124,속초시,카페,265,12월
125,속초시,속초시,206,12월
126,속초시,맛집,206,12월
127,속초시,겨울,204,12월
128,속초시,사진,201,12월
129,속초시,주차,199,12월
130,속초시,설악산,198,12월
131,속초시,회,175,12월
132,속초시,대게,158,12월
133,속초시,메뉴,145,12월
134,속초시,커피,141,12월
135,속초시,뷰,138,12월
136,속초시,해수욕장,127,12월
137,속초시,숙소,122,12월
138,속초시,호텔,121,12월
139,속초시,물회,111,12월
140,속초시,체험,105,12월
141,속초시,가족,102,12월
142,속초시,강원,98,12월
143,속초시,홍게,98,12월
144,속초시,케이블카,94,12월
145,속초시,날씨,94,12월
146,속초시,풍경,89,12월
147,속초시,게,87,12월
148,속초시,오징어,85,12월
149,속초시,일출,83,12월
150,여수시,여수,1922,12월
151,여수시,여행,835,12월
152,여수시,바다,545,12월
153,여수시,사진,308,12월
154,여수시,밤,245,12월
155,여수시,공원,239,12월
156,여수시,카페,215,12월
157,여수시,등대,194,12월
158,여수시,이순신,190,12월
159,여수시,케이블카,188,12월
160,여수시,오동도,186,12월
161,여수시,뷰,186,12월
162,여수시,숙소,186,12월
163,여수시,섬,179,12월
164,여수시,추천,176,12월
165,여수시,빵,173,12월
166,여수시,호텔,170,12월
167,여수시,맛집,165,12월
168,여수시,하멜,162,12월
169,여수시,낭만,148,12월
170,여수시,광장,147,12월
171,여수시,주차,143,12월
172,여수시,돌산,141,12월
173,여수시,게장,140,12월
174,여수시,리조트,134,12월
175,여수시,관광,128,12월
176,여수시,벽화,121,12월
177,여수시,풍경,115,12월
178,여수시,해상,114,12월
179,여수시,루지,113,12월
180,완주군,완주,885,12월
181,완주군,여행,443,12월
182,완주군,카페,315,12월
183,완주군,사진,239,12월
184,완주군,전주,235,12월
185,완주군,제주,169,12월
186,완주군,전북,138,12월
187,완주군,겨울,137,12월
188,완주군,올레길,129,12월
189,완주군,축제,122,12월
190,완주군,술,120,12월
191,완주군,삼례,119,12월
192,완주군,숙소,113,12월
193,완주군,문화,108,12월
194,완주군,맛집,108,12월
195,완주군,푸드,107,12월
196,완주군,예술,104,12월
197,완주군,가족,104,12월
198,완주군,체험,99,12월
199,완주군,완주군,92,12월
200,완주군,음식,90,12월
201,완주군,캠프,86,12월
202,완주군,고기,85,12월
203,완주군,곶감,85,12월
204,완주군,산,83,12월
205,완주군,풍경,82,12월
206,완주군,힐링,78,12월
207,완주군,자연,77,12월
208,완주군,펜션,77,12월
209,완주군,날씨,74,12월
210,인제군,인제,2066,12월
211,인제군,여행,1955,12월
212,인제군,사진,1204,12월
213,인제군,겨울,1008,12월
214,인제군,자작나무,884,12월
215,인제군,자작나무숲,773,12월
216,인제군,숲,672,12월
217,인제군,숙소,626,12월
218,인제군,속초,562,12월
219,인제군,카페,519,12월
220,인제군,황태,505,12월
221,인제군,맛집,478,12월
222,인제군,바다,415,12월
223,인제군,막국수,408,12월
224,인제군,풍경,394,12월
225,인제군,친구,370,12월
226,인제군,밥,368,12월
227,인제군,식당,361,12월
228,인제군,산,356,12월
229,인제군,아침,353,12월
230,인제군,두부,332,12월
231,인제군,호텔,314,12월
232,인제군,날씨,314,12월
233,인제군,가족,295,12월
234,인제군,주차,281,12월
235,인제군,저녁,275,12월
236,인제군,음식,273,12월
237,인제군,커피,270,12월
238,인제군,화장실,260,12월
239,인제군,뷰,251,12월
240,제주시,제주,2785,12월
241,제주시,제주시,1967,12월
242,제주시,제주도,1442,12월
243,제주시,여행,1348,12월
244,제주시,맛집,1008,12월
245,제주시,카페,927,12월
246,제주시,사진,833,12월
247,제주시,공항,711,12월
248,제주시,고기,505,12월
249,제주시,갈치,503,12월
250,제주시,바다,460,12월
251,제주시,커피,457,12월
252,제주시,주차,453,12월
253,제주시,밥,419,12월
254,제주시,돼지,417,12월
255,제주시,호텔,399,12월
256,제주시,식당,389,12월
257,제주시,숙소,361,12월
258,제주시,음식,336,12월
259,제주시,식사,325,12월
260,제주시,친구,321,12월
261,제주시,빵,316,12월
262,제주시,분위기,313,12월
263,제주시,조림,304,12월
264,제주시,국물,304,12월
265,제주시,전복,303,12월
266,제주시,게,292,12월
267,제주시,날씨,284,12월
268,제주시,케이크,264,12월
269,제주시,반찬,260,12월
270,춘천시,춘천,1168,12월
271,춘천시,여행,617,12월
272,춘천시,카페,338,12월
273,춘천시,사진,298,12월
274,춘천시,닭갈비,288,12월
275,춘천시,남이섬,258,12월
276,춘천시,강원도,217,12월
277,춘천시,감자,198,12월
278,춘천시,겨울,196,12월
279,춘천시,빵,191,12월
280,춘천시,체험,181,12월
281,춘천시,친구,146,12월
282,춘천시,호텔,139,12월
283,춘천시,강원,133,12월
284,춘천시,맛집,130,12월
285,춘천시,케이블카,130,12월
286,춘천시,커피,129,12월
287,춘천시,숙소,127,12월
288,춘천시,소양강,120,12월
289,춘천시,스카이,118,12월
290,춘천시,주차장,111,12월
291,춘천시,풍경,108,12월
292,춘천시,박물관,106,12월
293,춘천시,펜션,98,12월
294,춘천시,날씨,97,12월
295,춘천시,작품,97,12월
296,춘천시,주차,96,12월
297,춘천시,악산,93,12월
298,춘천시,가평,88,12월
299,춘천시,분위기,85,12월
