,지역,키워드,언급수,월
0,강릉시,강릉,4505,9월
1,강릉시,여행,2062,9월
2,강릉시,카페,1198,9월
3,강릉시,바다,1168,9월
4,강릉시,커피,1152,9월
5,강릉시,사진,1136,9월
6,강릉시,해변,1107,9월
7,강릉시,맛집,728,9월
8,강릉시,빵,726,9월
9,강릉시,호텔,723,9월
10,강릉시,순두부,701,9월
11,강릉시,숙소,527,9월
12,강릉시,주차,505,9월
13,강릉시,뷰,428,9월
14,강릉시,예약,410,9월
15,강릉시,주문진,366,9월
16,강릉시,날씨,357,9월
17,강릉시,회,354,9월
18,강릉시,중앙시장,352,9월
19,강릉시,칼국수,319,9월
20,강릉시,식당,311,9월
21,강릉시,밥,309,9월
22,강릉시,가족,306,9월
23,강릉시,여름,298,9월
24,강릉시,짬뽕,298,9월
25,강릉시,경포,287,9월
26,강릉시,강원,286,9월
27,강릉시,강문,283,9월
28,강릉시,젤라또,278,9월
29,강릉시,분위기,276,9월
30,거제시,거제,2962,9월
31,거제시,여행,1577,9월
32,거제시,거제도,1430,9월
33,거제시,바다,1130,9월
34,거제시,카페,1076,9월
35,거제시,사진,1059,9월
36,거제시,뷰,802,9월
37,거제시,거제시,642,9월
38,거제시,포토존,590,9월
39,거제시,섬,549,9월
40,거제시,외도,549,9월
41,거제시,주차,520,9월
42,거제시,맛집,507,9월
43,거제시,커피,489,9월
44,거제시,숙소,487,9월
45,거제시,펜션,484,9월
46,거제시,오션,400,9월
47,거제시,가족,363,9월
48,거제시,체험,347,9월
49,거제시,밥,345,9월
50,거제시,풍경,333,9월
51,거제시,날씨,333,9월
52,거제시,마을,319,9월
53,거제시,해수욕장,315,9월
54,거제시,유람선,302,9월
55,거제시,몽돌,299,9월
56,거제시,케이블카,290,9월
57,거제시,화장실,283,9월
58,거제시,배,280,9월
59,거제시,식당,262,9월
60,경주시,경주,4569,9월
61,경주시,여행,2001,9월
62,경주시,사진,1288,9월
63,경주시,카페,800,9월
64,경주시,포토존,769,9월
65,경주시,월정교,737,9월
66,경주시,첨성대,662,9월
67,경주시,주차,549,9월
68,경주시,맛집,529,9월
69,경주시,숙소,506,9월
70,경주시,대릉,472,9월
71,경주시,가을,464,9월
72,경주시,불국사,432,9월
73,경주시,체험,431,9월
74,경주시,가족,420,9월
75,경주시,집,391,9월
76,경주시,신라,351,9월
77,경주시,커피,330,9월
78,경주시,빵,326,9월
79,경주시,동궁,323,9월
80,경주시,호텔,320,9월
81,경주시,뷰,309,9월
82,경주시,펜션,309,9월
83,경주시,야경,307,9월
84,경주시,주상절리,307,9월
85,경주시,저녁,303,9월
86,경주시,날씨,302,9월
87,경주시,분위기,301,9월
88,경주시,밥,296,9월
89,경주시,역사,294,9월
90,단양군,단양,3826,9월
91,단양군,여행,1946,9월
92,단양군,사진,1465,9월
93,단양군,마늘,1425,9월
94,단양군,만천하스카이워크,1323,9월
95,단양군,패러글라이딩,1019,9월
96,단양군,카페,1006,9월
97,단양군,시장,821,9월
98,단양군,도담삼봉,755,9월
99,단양군,숙소,618,9월
100,단양군,타고,559,9월
101,단양군,풍경,483,9월
102,단양군,유람선,467,9월
103,단양군,닭강정,449,9월
104,단양군,주차,442,9월
105,단양군,산,427,9월
106,단양군,날씨,426,9월
107,단양군,뷰,404,9월
108,단양군,맛집,404,9월
109,단양군,고수동굴,366,9월
110,단양군,식당,361,9월
111,단양군,출발,340,9월
112,단양군,빵,336,9월
113,단양군,커피,334,9월
114,단양군,전망대,327,9월
115,단양군,아침,316,9월
116,단양군,떡갈비,316,9월
117,단양군,저녁,300,9월
118,단양군,카페산,297,9월
119,단양군,아쿠아리움,285,9월
120,서귀포시,제주,3131,9월
121,서귀포시,여행,2253,9월
122,서귀포시,제주도,2026,9월
123,서귀포시,사진,1193,9월
124,서귀포시,카페,1184,9월
125,서귀포시,서귀포시,758,9월
126,서귀포시,바다,649,9월
127,서귀포시,맛집,572,9월
128,서귀포시,호텔,569,9월
129,서귀포시,숙소,545,9월
130,서귀포시,포토존,499,9월
131,서귀포시,가을,397,9월
132,서귀포시,주차,396,9월
133,서귀포시,돼지,391,9월
134,서귀포시,체험,385,9월
135,서귀포시,날씨,371,9월
136,서귀포시,뷰,361,9월
137,서귀포시,풍경,346,9월
138,서귀포시,고기,330,9월
139,서귀포시,갈치,320,9월
140,서귀포시,마라도,297,9월
141,서귀포시,식당,287,9월
142,서귀포시,커피,272,9월
143,서귀포시,핑크,269,9월
144,서귀포시,가족,264,9월
145,서귀포시,음료,261,9월
146,서귀포시,자연,257,9월
147,서귀포시,포토,246,9월
148,서귀포시,시장,242,9월
149,서귀포시,전복,241,9월
150,양양군,양양,2887,9월
151,양양군,여행,1976,9월
152,양양군,바다,1472,9월
153,양양군,사진,1333,9월
154,양양군,숙소,1104,9월
155,양양군,서핑,1065,9월
156,양양군,시간,907,9월
157,양양군,해변,907,9월
158,양양군,카페,868,9월
159,양양군,비치,814,9월
160,양양군,낙산사,598,9월
161,양양군,날씨,558,9월
162,양양군,맛집,511,9월
163,양양군,뷰,497,9월
164,양양군,친구,496,9월
165,양양군,속초,457,9월
166,양양군,호텔,445,9월
167,양양군,해수욕장,444,9월
168,양양군,커피,417,9월
169,양양군,저녁,408,9월
170,양양군,아침,403,9월
171,양양군,파도,363,9월
172,양양군,밥,363,9월
173,양양군,회,344,9월
174,양양군,막국수,333,9월
175,양양군,인구,316,9월
176,양양군,함,312,9월
177,양양군,주차,300,9월
178,양양군,밤,295,9월
179,양양군,분위기,290,9월
180,제주시,제주,2692,9월
181,제주시,제주도,1605,9월
182,제주시,여행,1539,9월
183,제주시,제주시,1457,9월
184,제주시,카페,976,9월
185,제주시,맛집,969,9월
186,제주시,사진,877,9월
187,제주시,공항,637,9월
188,제주시,고기,598,9월
189,제주시,호텔,514,9월
190,제주시,바다,492,9월
191,제주시,커피,457,9월
192,제주시,숙소,457,9월
193,제주시,주차,448,9월
194,제주시,식당,402,9월
195,제주시,밥,359,9월
196,제주시,국수,349,9월
197,제주시,김밥,340,9월
198,제주시,음식,335,9월
199,제주시,돼지,326,9월
200,제주시,분위기,320,9월
201,제주시,뷰,317,9월
202,제주시,갈치,303,9월
203,제주시,새우,293,9월
204,제주시,친구,283,9월
205,제주시,고기국수,283,9월
206,제주시,가족,279,9월
207,제주시,식사,260,9월
208,제주시,저녁,258,9월
209,제주시,아침,243,9월
210,평창군,평창,3518,9월
211,평창군,여행,1952,9월
212,평창군,사진,1082,9월
213,평창군,메밀,953,9월
214,평창군,목장,804,9월
215,평창군,카페,683,9월
216,평창군,꽃,598,9월
217,평창군,호텔,580,9월
218,평창군,축제,552,9월
219,평창군,산,549,9월
220,평창군,대관령,535,9월
221,평창군,숙소,528,9월
222,평창군,가족,514,9월
223,평창군,백일홍,494,9월
224,평창군,체험,494,9월
225,평창군,날씨,455,9월
226,평창군,양,451,9월
227,평창군,월정사,451,9월
228,평창군,맛집,446,9월
229,평창군,추천,444,9월
230,평창군,이효석,442,9월
231,평창군,풍경,418,9월
232,평창군,식당,407,9월
233,평창군,가을,385,9월
