,지역,키워드,언급수,월
0,경주시,경주,4264,10월
1,경주시,여행,2119,10월
2,경주시,사진,1535,10월
3,경주시,첨성대,896,10월
4,경주시,월정교,880,10월
5,경주시,카페,843,10월
6,경주시,포토존,794,10월
7,경주시,불국사,647,10월
8,경주시,가을,625,10월
9,경주시,대릉,614,10월
10,경주시,주차,583,10월
11,경주시,숙소,531,10월
12,경주시,동궁,512,10월
13,경주시,빵,492,10월
14,경주시,월지,492,10월
15,경주시,맛집,442,10월
16,경주시,신라,419,10월
17,경주시,야경,370,10월
18,경주시,단풍,369,10월
19,경주시,핑크,347,10월
20,경주시,체험,334,10월
21,경주시,커피,323,10월
22,경주시,날씨,316,10월
23,경주시,무료,315,10월
24,경주시,저녁,312,10월
25,경주시,풍경,312,10월
26,경주시,꽃,308,10월
27,경주시,가족,301,10월
28,경주시,입장,299,10월
29,경주시,관람,290,10월
30,고창군,고창,3029,10월
31,고창군,핑크뮬리,1710,10월
32,고창군,사진,1334,10월
33,고창군,여행,1054,10월
34,고창군,농원,908,10월
35,고창군,카페,754,10월
36,고창군,고인돌,687,10월
37,고창군,가을,627,10월
38,고창군,축제,580,10월
39,고창군,꽃,571,10월
40,고창군,장어,538,10월
41,고창군,할로윈,484,10월
42,고창군,농장,405,10월
43,고창군,메밀,369,10월
44,고창군,단풍,347,10월
45,고창군,식당,327,10월
46,고창군,전북,321,10월
47,고창군,풍경,320,10월
48,고창군,주차,319,10월
49,고창군,입장료,313,10월
50,고창군,날씨,311,10월
51,고창군,음료,300,10월
52,고창군,습지,295,10월
53,고창군,마을,285,10월
54,고창군,정원,269,10월
55,고창군,가족,258,10월
56,고창군,고창읍성,248,10월
57,고창군,꽃객,245,10월
58,고창군,맛집,244,10월
59,고창군,고창군,242,10월
60,단양군,단양,4015,10월
61,단양군,여행,2219,10월
62,단양군,만천하스카이워크,1611,10월
63,단양군,사진,1468,10월
64,단양군,패러글라이딩,1076,10월
65,단양군,시장,914,10월
66,단양군,카페,878,10월
67,단양군,도담삼봉,619,10월
68,단양군,풍경,549,10월
69,단양군,숙소,522,10월
70,단양군,유람선,510,10월
71,단양군,가을,481,10월
72,단양군,주차,467,10월
73,단양군,충북,453,10월
74,단양군,산,448,10월
75,단양군,맛집,446,10월
76,단양군,닭강정,383,10월
77,단양군,체험,383,10월
78,단양군,단풍,381,10월
79,단양군,주문,380,10월
80,단양군,이끼,374,10월
81,단양군,떡갈비,366,10월
82,단양군,뷰,365,10월
83,단양군,빵,363,10월
84,단양군,아침,356,10월
85,단양군,날씨,354,10월
86,단양군,동굴,340,10월
87,단양군,전망대,339,10월
88,단양군,커피,306,10월
89,단양군,고수동굴,306,10월
90,달서구,대구,3596,10월
91,달서구,공원,1825,10월
92,달서구,달서구,1125,10월
93,달서구,카페,1009,10월
94,달서구,여행,774,10월
95,달서구,맛집,653,10월
96,달서구,사진,648,10월
97,달서구,가을,499,10월
98,달서구,동구,414,10월
99,달서구,문화,391,10월
100,달서구,커피,384,10월
101,달서구,축제,375,10월
102,달서구,수목원,373,10월
103,달서구,센터,369,10월
104,달서구,중구,367,10월
105,달서구,수성구,365,10월
106,달서구,달성군,364,10월
107,달서구,시장,343,10월
108,달서구,주차,340,10월
109,달서구,북구,324,10월
110,달서구,박물관,322,10월
111,달서구,고기,304,10월
112,달서구,단풍,290,10월
113,달서구,친구,288,10월
114,달서구,꽃,278,10월
115,달서구,키즈,274,10월
116,달서구,체육,270,10월
117,달서구,부산,254,10월
118,달서구,파크,248,10월
119,달서구,마을,247,10월
120,속초시,속초,5047,10월
121,속초시,여행,1989,10월
122,속초시,바다,1013,10월
123,속초시,설악산,955,10월
124,속초시,사진,886,10월
125,속초시,카페,815,10월
126,속초시,맛집,713,10월
127,속초시,회,680,10월
128,속초시,주차,639,10월
129,속초시,숙소,572,10월
130,속초시,뷰,534,10월
131,속초시,케이블카,476,10월
132,속초시,해수욕장,459,10월
133,속초시,호텔,452,10월
134,속초시,커피,451,10월
135,속초시,청초,441,10월
136,속초시,단풍,440,10월
137,속초시,풍경,408,10월
138,속초시,음식,401,10월
139,속초시,대게,390,10월
140,속초시,중앙시장,379,10월
141,속초시,가을,377,10월
142,속초시,식당,374,10월
143,속초시,물회,363,10월
144,속초시,게,357,10월
145,속초시,설악,344,10월
146,속초시,공원,341,10월
147,속초시,날씨,320,10월
148,속초시,호수,318,10월
149,속초시,예약,315,10월
150,영암군,김용임,2770,10월
151,영암군,하춘화,2246,10월
152,영암군,여행,984,10월
153,영암군,영암,645,10월
154,영암군,사진,603,10월
155,영암군,전집,587,10월
156,영암군,마을,586,10월
157,영암군,체험,399,10월
158,영암군,가을,377,10월
159,영암군,바다,370,10월
160,영암군,공원,342,10월
161,영암군,카페,340,10월
162,영암군,골프,321,10월
163,영암군,휴게소,320,10월
164,영암군,산,315,10월
165,영암군,광주,315,10월
166,영암군,월출산,312,10월
167,영암군,여수,311,10월
168,영암군,친구,303,10월
169,영암군,택시,279,10월
170,영암군,밤,273,10월
171,영암군,꽃,272,10월
172,영암군,해남,266,10월
173,영암군,축제,260,10월
174,영암군,버스,259,10월
175,영암군,아침,257,10월
176,영암군,숙소,255,10월
177,영암군,양지은,255,10월
178,영암군,앨범,247,10월
179,영암군,풍경,246,10월
180,의령군,의령,2195,10월
181,의령군,사진,1034,10월
182,의령군,댑싸리,1032,10월
183,의령군,축제,1011,10월
184,의령군,여행,894,10월
185,의령군,공원,804,10월
186,의령군,가을,776,10월
187,의령군,꽃,646,10월
188,의령군,카페,604,10월
189,의령군,커피,475,10월
190,의령군,치킨,413,10월
191,의령군,소바,406,10월
192,의령군,핑크,398,10월
193,의령군,진주,388,10월
194,의령군,떡,368,10월
195,의령군,의병,338,10월
