,지역,키워드,언급수,월
211,완도군,청산도,1913,4월
212,완도군,여행,1683,4월
213,완도군,배,1167,4월
214,완도군,바다,869,4월
215,완도군,전복,865,4월
216,완도군,사진,840,4월
217,완도군,섬,757,4월
218,완도군,버스,558,4월
219,완도군,유채꽃,474,4월
220,완도군,터미널,473,4월
221,완도군,숙소,413,4월
222,완도군,슬로,411,4월
223,완도군,산,405,4월
224,완도군,풍경,366,4월
225,완도군,맛집,359,4월
226,완도군,항,355,4월
227,완도군,벚꽃,346,4월
228,완도군,봄,331,4월
229,완도군,해변,326,4월
230,완도군,서편제,326,4월
231,완도군,차량,318,4월
232,완도군,아침,314,4월
233,완도군,꽃,304,4월
234,완도군,축제,294,4월
235,완도군,식당,290,4월
236,완도군,카페,283,4월
237,완도군,방문,276,4월
238,완도군,밥,264,4월
239,완도군,촬영,260,4월
240,인제군,여행,1332,4월
241,인제군,인제,1275,4월
242,인제군,사진,1001,4월
243,인제군,강원도,533,4월
244,인제군,카페,504,4월
245,인제군,벚꽃,433,4월
246,인제군,숙소,429,4월
247,인제군,속초,403,4월
248,인제군,바다,393,4월
249,인제군,버스,374,4월
250,인제군,커피,348,4월
251,인제군,맛집,321,4월
252,인제군,친구,318,4월
253,인제군,뷰,317,4월
254,인제군,저녁,304,4월
255,인제군,밥,299,4월
256,인제군,꽃,288,4월
257,인제군,호텔,283,4월
258,인제군,산,279,4월
259,인제군,날씨,277,4월
260,인제군,주문,259,4월
261,인제군,바람,253,4월
262,인제군,마을,249,4월
263,인제군,봄,245,4월
264,인제군,음식,244,4월
265,인제군,가족,242,4월
266,인제군,숲,241,4월
267,인제군,공원,228,4월
268,인제군,터미널,225,4월
269,인제군,코스,223,4월
270,제주시,제주,2592,4월
271,제주시,제주도,1559,4월
272,제주시,여행,1440,4월
273,제주시,제주시,1437,4월
274,제주시,카페,957,4월
275,제주시,사진,933,4월
276,제주시,맛집,863,4월
277,제주시,공항,605,4월
278,제주시,벚꽃,565,4월
279,제주시,고기,559,4월
280,제주시,숙소,522,4월
281,제주시,호텔,470,4월
282,제주시,바다,442,4월
283,제주시,밥,441,4월
284,제주시,주차,438,4월
285,제주시,식당,420,4월
286,제주시,집,416,4월
287,제주시,돼지,396,4월
288,제주시,커피,389,4월
289,제주시,음식,356,4월
290,제주시,새우,316,4월
291,제주시,김밥,310,4월
292,제주시,저녁,278,4월
293,제주시,식사,273,4월
294,제주시,뷰,272,4월
295,제주시,갈치,272,4월
296,제주시,친구,271,4월
297,제주시,분위기,258,4월
298,제주시,날씨,253,4월
299,제주시,국수,252,4월
