,지역,언급수
0,서귀포시,56
1,보성군,46
2,제주시,46
3,옥천군,27
4,서천군,24
5,공주시,23
6,속초시,23
7,여수시,22
8,순창군,22
9,양양군,21
10,강릉시,19
11,태안군,18
12,보령시,17
13,홍천군,16
14,가평군,15
15,아산시,15
16,제천시,15
17,광주시,15
18,인제군,15
19,순천시,15
20,하동군,13
21,군산시,12
22,해운대구,10
23,중구,10
24,춘천시,10
25,영주시,10
26,경주시,10
27,당진시,10
28,완도군,9
29,충주시,9
30,울릉군,9
31,고성군,9
32,동구,9
33,정읍시,9
34,양평군,8
35,파주시,8
36,원주시,8
37,평창군,8
38,강남구,8
39,강화군,8
40,안동시,7
41,중랑구,7
42,통영시,6
43,증평군,6
44,강진군,6
45,부산진구,6
46,부여군,6
47,곡성군,6
48,은평구,6
49,수영구,6
50,신안군,6
51,거제시,5
52,서구,5
53,연수구,5
54,화천군,5
55,합천군,4
56,영광군,4
57,단양군,4
58,담양군,4
59,강서구,4
60,북구,4
61,서초구,4
62,진도군,4
63,남구,4
64,봉화군,4
65,울진군,4
66,고흥군,3
67,태백시,3
68,임실군,3
69,청도군,3
70,예천군,3
71,장흥군,3
72,산청군,3
73,부안군,3
74,삼척시,3
75,남양주시,3
76,함안군,3
77,유성구,3
78,청송군,3
79,동두천시,3
80,남원시,3
81,밀양시,2
82,괴산군,2
83,보은군,2
84,영동군,2
85,음성군,2
86,진천군,2
87,동해시,2
88,부천시,2
89,달서구,2
90,달성군,2
91,이천시,2
92,문경시,2
93,영월군,2
94,칠곡군,2
95,양구군,2
96,금산군,2
97,수성구,2
98,송파구,2
99,금천구,2
100,장성군,2
101,고령군,2
102,영덕군,2
103,군위군,2
104,나주시,2
105,동래구,2
106,종로구,2
107,예산군,2
108,홍성군,2
109,횡성군,2
110,계양구,1
111,구례군,1
112,계룡시,1
113,논산시,1
114,안성시,1
115,광진구,1
116,김해시,1
117,광명시,1
118,포천시,1
119,서산시,1
120,관악구,1
121,의성군,1
122,창녕군,1
123,양산시,1
124,상주시,1
125,용산구,1
126,광산구,1
127,영등포구,1
128,사천시,1
129,여주시,1
130,강동구,1
131,도봉구,1
132,강북구,1
133,의정부시,1
134,양주시,1
135,옹진군,1
136,화성시,1
137,오산시,1
138,마포구,1
139,연제구,1
140,진주시,1
141,광양시,1
142,노원구,1
143,평택시,1
144,거창군,1
145,기장군,1
146,사하구,1
147,고창군,1
148,함평군,1
149,철원군,1
