,지역,언급수
0,제주시,47
1,밀양시,38
2,서귀포시,38
3,거제시,36
4,강진군,29
5,단양군,23
6,경주시,22
7,중구,22
8,여수시,22
9,태안군,21
10,삼척시,20
11,군산시,19
12,평창군,17
13,순천시,16
14,춘천시,13
15,기장군,13
16,강릉시,12
17,송파구,12
18,가평군,11
19,양양군,11
20,서천군,11
21,양평군,11
22,영주시,10
23,담양군,10
24,해운대구,9
25,사하구,9
26,포천시,9
27,정선군,9
28,동구,9
29,충주시,9
30,제천시,8
31,하동군,8
32,당진시,8
33,태백시,8
34,안성시,7
35,인제군,7
36,수영구,7
37,임실군,7
38,진안군,7
39,청양군,7
40,남구,7
41,철원군,7
42,장흥군,7
43,상주시,7
44,속초시,7
45,완도군,7
46,통영시,6
47,아산시,6
48,옥천군,6
49,동두천시,6
50,강화군,6
51,남원시,6
52,산청군,6
53,종로구,6
54,합천군,5
55,논산시,5
56,파주시,5
57,부안군,5
58,광주시,5
59,용산구,5
60,남양주시,5
61,북구,5
62,마포구,5
63,청도군,5
64,고성군,5
65,울진군,5
66,부산진구,4
67,안동시,4
68,구례군,4
69,보성군,4
70,의령군,4
71,서산시,3
72,울주군,3
73,사천시,3
74,보령시,3
75,영도구,3
76,무주군,3
77,예산군,3
78,거창군,3
79,공주시,3
80,신안군,3
81,목포시,3
82,화천군,3
83,수성구,3
84,고흥군,3
85,강남구,3
86,창녕군,3
87,봉화군,3
88,김해시,3
89,횡성군,3
90,군위군,3
91,강서구,3
92,동해시,3
93,강북구,3
94,이천시,3
95,진도군,3
96,화성시,2
97,영덕군,2
98,순창군,2
99,성동구,2
100,서구,2
101,보은군,2
102,광진구,2
103,서초구,2
104,영등포구,2
105,곡성군,2
106,칠곡군,2
107,문경시,2
108,장성군,2
109,유성구,2
110,경산시,2
111,함안군,2
112,영월군,2
113,여주시,1
114,울릉군,1
115,장수군,1
116,금정구,1
117,시흥시,1
118,양주시,1
119,의정부시,1
120,계양구,1
121,평택시,1
122,화순군,1
123,서대문구,1
124,동대문구,1
125,강동구,1
126,과천시,1
127,완주군,1
128,영동군,1
129,달서구,1
130,은평구,1
131,광명시,1
132,김천시,1
133,양천구,1
134,연천군,1
135,양산시,1
136,고창군,1
137,정읍시,1
138,원주시,1
139,광산구,1
140,하남시,1
141,청송군,1
142,해남군,1
