,지역,언급수
0,서귀포시,51
1,제주시,35
2,여수시,20
3,중구,19
4,속초시,17
5,군산시,17
6,태안군,15
7,신안군,15
8,춘천시,15
9,거제시,14
10,경주시,13
11,남양주시,13
12,공주시,12
13,안동시,12
14,원주시,10
15,가평군,9
16,장흥군,9
17,통영시,9
18,울주군,8
19,목포시,7
20,하동군,7
21,영덕군,7
22,강릉시,6
23,구례군,6
24,완도군,6
25,양평군,6
26,아산시,6
27,북구,5
28,충주시,5
29,사천시,5
30,양양군,5
31,울릉군,5
32,여주시,5
33,임실군,5
34,보령시,4
35,담양군,4
36,강화군,4
37,부안군,4
38,해운대구,4
39,영월군,4
40,동구,4
41,단양군,4
42,산청군,4
43,금산군,4
44,서구,4
45,금정구,4
46,논산시,4
47,횡성군,4
48,양구군,3
49,종로구,3
50,울진군,3
51,파주시,3
52,수영구,3
53,영도구,3
54,중랑구,3
55,남구,3
56,평창군,3
57,포천시,3
58,제천시,3
59,청송군,3
60,광주시,3
61,순천시,3
62,해남군,3
63,인제군,2
64,남원시,2
65,문경시,2
66,고성군,2
67,광산구,2
68,사상구,2
69,홍천군,2
70,화성시,2
71,태백시,2
72,송파구,2
73,장수군,2
74,성동구,2
75,보은군,2
76,부여군,2
77,양산시,1
78,오산시,1
79,청도군,1
80,영등포구,1
81,부천시,1
82,계양구,1
83,남동구,1
84,홍성군,1
85,기장군,1
86,함양군,1
87,창녕군,1
88,화천군,1
89,진주시,1
90,마포구,1
91,부산진구,1
92,무주군,1
93,김해시,1
94,의정부시,1
95,성북구,1
96,시흥시,1
97,안성시,1
98,옥천군,1
99,계룡시,1
100,서천군,1
101,서산시,1
102,나주시,1
103,장성군,1
104,화순군,1
105,함평군,1
106,보성군,1
107,익산시,1
108,청양군,1
109,광양시,1
110,동해시,1
111,동래구,1
112,옹진군,1
113,구리시,1
114,삼척시,1
115,증평군,1
