,지역,언급수
0,고창군,109
1,제주시,51
2,인제군,50
3,달서구,32
4,하동군,31
5,속초시,30
6,의령군,26
7,단양군,25
8,경주시,24
9,영암군,23
10,서귀포시,22
11,양양군,21
12,순천시,20
13,강릉시,19
14,중구,19
15,여수시,18
16,춘천시,18
17,거제시,16
18,정선군,16
19,철원군,15
20,동해시,14
21,서초구,13
22,부여군,12
23,공주시,12
24,태안군,12
25,동구,11
26,담양군,10
27,진주시,9
28,아산시,9
29,종로구,9
30,당진시,9
31,서구,9
32,북구,8
33,장흥군,8
34,울릉군,8
35,홍천군,8
36,임실군,7
37,영월군,7
38,남구,7
39,양평군,7
40,합천군,7
41,연천군,7
42,수영구,7
43,송파구,6
44,제천시,6
45,평창군,6
46,안동시,6
47,거창군,6
48,김천시,5
49,나주시,5
50,청도군,5
51,성동구,5
52,원주시,5
53,수성구,5
54,시흥시,5
55,강진군,5
56,고성군,5
57,포천시,5
58,충주시,5
59,용산구,4
60,함안군,4
61,가평군,4
62,함양군,4
63,강화군,4
64,청송군,4
65,기장군,4
66,영주시,4
67,익산시,4
68,양천구,4
69,완주군,4
70,장성군,4
71,밀양시,4
72,김포시,4
73,광주시,3
74,서대문구,3
75,부안군,3
76,강서구,3
77,구례군,3
78,산청군,3
79,김해시,3
80,정읍시,3
81,달성군,3
82,의정부시,3
83,해운대구,3
84,태백시,3
85,군산시,3
86,완도군,3
87,화성시,3
88,남양주시,3
89,옥천군,2
90,횡성군,2
91,무주군,2
92,울주군,2
93,마포구,2
94,보령시,2
95,사천시,2
96,울진군,2
97,청양군,2
98,삼척시,2
99,금정구,2
100,서천군,2
101,문경시,2
102,강남구,2
103,영등포구,2
104,도봉구,2
105,진도군,1
106,양주시,1
107,예산군,1
108,동작구,1
109,봉화군,1
110,무안군,1
111,여주시,1
112,순창군,1
113,파주시,1
114,보성군,1
115,고흥군,1
116,함평군,1
117,칠곡군,1
118,계양구,1
119,통영시,1
120,창녕군,1
121,장수군,1
122,영덕군,1
123,하남시,1
124,동래구,1
125,부산진구,1
126,구리시,1
127,강동구,1
128,이천시,1
129,신안군,1
130,논산시,1
131,군위군,1
132,진천군,1
133,목포시,1
134,양구군,1
135,보은군,1
136,오산시,1
137,진안군,1
138,계룡시,1
