,지역,언급수
0,제주시,44
1,강릉시,36
2,서귀포시,36
3,경주시,30
4,속초시,29
5,중구,20
6,인제군,20
7,완도군,17
8,여수시,17
9,목포시,15
10,군산시,14
11,남원시,13
12,장흥군,13
13,사천시,12
14,신안군,12
15,울릉군,11
16,양양군,11
17,거제시,10
18,동해시,10
19,고창군,9
20,통영시,9
21,동구,9
22,평창군,8
23,단양군,8
24,강화군,8
25,옹진군,8
26,해운대구,8
27,정선군,8
28,고성군,8
29,북구,8
30,남양주시,8
31,순천시,7
32,담양군,7
33,하동군,7
34,밀양시,7
35,충주시,7
36,가평군,7
37,공주시,7
38,안동시,7
39,구례군,6
40,서산시,6
41,부산진구,6
42,임실군,5
43,보성군,5
44,태안군,5
45,산청군,5
46,문경시,5
47,남구,5
48,강남구,5
49,마포구,5
50,완주군,4
51,안성시,4
52,합천군,4
53,서구,4
54,달성군,4
55,당진시,4
56,괴산군,4
57,용산구,4
58,수영구,4
59,부여군,4
60,서초구,3
61,금산군,3
62,옥천군,3
63,사하구,3
64,보령시,3
65,울진군,3
66,나주시,3
67,종로구,3
68,영도구,3
69,정읍시,3
70,곡성군,3
71,예산군,3
72,시흥시,2
73,창녕군,2
74,광양시,2
75,무주군,2
76,구로구,2
77,아산시,2
78,광진구,2
79,김포시,2
80,여주시,2
81,기장군,2
82,진주시,2
83,부안군,2
84,진안군,2
85,청양군,2
86,춘천시,2
87,함평군,2
88,노원구,2
89,고흥군,1
90,청도군,1
91,연제구,1
92,함안군,1
93,양산시,1
94,화순군,1
95,부천시,1
96,영덕군,1
97,영월군,1
98,강진군,1
99,영주시,1
100,삼척시,1
101,강서구,1
102,논산시,1
103,제천시,1
104,익산시,1
105,거창군,1
106,영암군,1
107,울주군,1
108,함양군,1
109,금천구,1
110,금정구,1
111,강동구,1
112,송파구,1
113,동두천시,1
114,장수군,1
115,김제시,1
116,파주시,1
117,순창군,1
118,포천시,1
119,부평구,1
120,계양구,1
121,하남시,1
122,음성군,1
123,동작구,1
124,태백시,1
125,김해시,1
