,지역,언급수
0,제주시,89
1,영양군,36
2,서귀포시,30
3,양양군,26
4,속초시,24
5,중구,20
6,여수시,19
7,인제군,18
8,서구,17
9,동해시,16
10,당진시,16
11,고창군,15
12,철원군,15
13,원주시,15
14,강릉시,14
15,거제시,14
16,보성군,13
17,고성군,12
18,영주시,10
19,남구,10
20,동구,9
21,신안군,9
22,사천시,9
23,장흥군,9
24,보령시,9
25,태안군,8
26,부여군,8
27,경주시,8
28,강화군,8
29,양평군,8
30,문경시,7
31,구례군,7
32,산청군,7
33,가평군,7
34,제천시,7
35,서천군,7
36,평창군,7
37,목포시,7
38,무안군,7
39,단양군,6
40,사하구,6
41,태백시,6
42,북구,6
43,기장군,6
44,화천군,6
45,정선군,6
46,하동군,5
47,진주시,5
48,삼척시,5
49,영도구,5
50,담양군,5
51,용산구,5
52,함평군,4
53,서산시,4
54,홍성군,4
55,울릉군,4
56,영동군,4
57,합천군,4
58,양주시,4
59,공주시,4
60,봉화군,4
61,춘천시,4
62,달성군,4
63,군위군,4
64,청도군,3
65,울주군,3
66,통영시,3
67,강서구,3
68,함안군,3
69,순천시,3
70,군산시,3
71,괴산군,3
72,함양군,3
73,오산시,3
74,옹진군,3
75,청양군,3
76,강동구,3
77,강남구,3
78,충주시,3
79,영월군,3
80,나주시,3
81,송파구,3
82,남원시,2
83,종로구,2
84,부안군,2
85,화성시,2
86,연천군,2
87,홍천군,2
88,해운대구,2
89,서초구,2
90,광명시,2
91,화순군,2
92,양산시,2
93,은평구,2
94,안성시,2
95,강진군,2
96,의왕시,2
97,진안군,2
98,성북구,2
99,곡성군,1
100,거창군,1
101,장성군,1
102,포천시,1
103,계룡시,1
104,익산시,1
105,부천시,1
106,경산시,1
107,울진군,1
108,연제구,1
109,논산시,1
110,보은군,1
111,광주시,1
112,여주시,1
113,광진구,1
114,달서구,1
115,동래구,1
116,부산진구,1
117,사상구,1
118,연수구,1
119,무주군,1
120,완주군,1
121,광양시,1
122,진도군,1
123,아산시,1
124,서대문구,1
125,수영구,1
126,파주시,1
127,해남군,1
128,고흥군,1
