,지역,언급수
0,제주시,69
1,양양군,53
2,여수시,44
3,부여군,38
4,강릉시,36
5,서귀포시,34
6,인제군,23
7,거제시,21
8,울진군,19
9,동해시,17
10,태안군,16
11,단양군,16
12,중구,15
13,정선군,15
14,보령시,14
15,고성군,14
16,청송군,13
17,홍천군,13
18,해운대구,13
19,무안군,12
20,속초시,12
21,경주시,12
22,순천시,12
23,산청군,11
24,가평군,10
25,평창군,9
26,보은군,9
27,장성군,9
28,강서구,9
29,강진군,9
30,춘천시,8
31,삼척시,8
32,기장군,8
33,통영시,8
34,장흥군,7
35,태백시,7
36,담양군,7
37,공주시,7
38,철원군,7
39,진도군,7
40,안동시,6
41,화성시,6
42,괴산군,6
43,종로구,6
44,서천군,6
45,보성군,5
46,영동군,5
47,신안군,5
48,해남군,5
49,시흥시,5
50,완도군,5
51,포천시,5
52,봉화군,5
53,제천시,5
54,달성군,4
55,동구,4
56,구례군,4
57,서구,4
58,마포구,4
59,성동구,4
60,진안군,4
61,순창군,4
62,고창군,3
63,광명시,3
64,부안군,3
65,완주군,3
66,울주군,3
67,영월군,3
68,동두천시,3
69,하동군,3
70,연수구,3
71,남양주시,3
72,당진시,3
73,아산시,3
74,충주시,3
75,무주군,3
76,금천구,3
77,송파구,3
78,영양군,3
79,달서구,3
80,문경시,2
81,용산구,2
82,고흥군,2
83,함안군,2
84,금산군,2
85,파주시,2
86,임실군,2
87,옹진군,2
88,군산시,2
89,수영구,2
90,강화군,2
91,울릉군,2
92,영주시,2
93,서대문구,2
94,익산시,2
95,사하구,2
96,서초구,2
97,하남시,2
98,정읍시,2
99,영덕군,2
100,청도군,1
101,영도구,1
102,북구,1
103,구미시,1
104,서산시,1
105,옥천군,1
106,횡성군,1
107,논산시,1
108,김포시,1
109,화순군,1
110,군위군,1
111,예천군,1
112,거창군,1
113,칠곡군,1
114,김천시,1
115,양평군,1
116,안성시,1
117,강동구,1
118,합천군,1
119,금정구,1
120,노원구,1
121,강북구,1
122,이천시,1
123,사천시,1
124,남구,1
125,은평구,1
126,목포시,1
127,진천군,1
128,관악구,1
129,의령군,1
130,경산시,1
131,영천시,1
132,남동구,1
133,의성군,1
134,광주시,1
135,수성구,1
136,동대문구,1
137,광진구,1
138,화천군,1
139,양구군,1
