,지역,언급수
0,제주시,63
1,속초시,49
2,서귀포시,47
3,인제군,41
4,강릉시,36
5,춘천시,35
6,원주시,33
7,중구,26
8,경주시,23
9,여수시,23
10,동해시,22
11,평창군,19
12,제천시,17
13,고성군,15
14,무주군,14
15,담양군,13
16,태안군,12
17,화성시,11
18,서구,11
19,파주시,10
20,아산시,10
21,해운대구,10
22,청송군,10
23,봉화군,9
24,동구,9
25,가평군,9
26,남구,9
27,북구,9
28,청양군,8
29,논산시,8
30,수영구,8
31,양양군,8
32,밀양시,8
33,신안군,7
34,거제시,7
35,하동군,7
36,서초구,7
37,강서구,7
38,서천군,7
39,횡성군,7
40,기장군,7
41,단양군,6
42,순천시,6
43,청도군,6
44,종로구,6
45,목포시,5
46,양천구,5
47,공주시,5
48,달성군,5
49,송파구,5
50,정선군,5
51,의성군,5
52,사천시,5
53,군위군,5
54,영등포구,5
55,울진군,4
56,울주군,4
57,수성구,4
58,안동시,4
59,성북구,4
60,김해시,4
61,양구군,4
62,군산시,4
63,순창군,4
64,통영시,4
65,강남구,4
66,홍천군,4
67,삼척시,4
68,당진시,3
69,영월군,3
70,태백시,3
71,여주시,3
72,영천시,3
73,영동군,3
74,동두천시,3
75,광양시,3
76,안성시,3
77,완도군,3
78,부안군,3
79,보성군,3
80,강동구,3
81,옥천군,3
82,영도구,3
83,은평구,3
84,음성군,3
85,경산시,3
86,구례군,2
87,시흥시,2
88,의령군,2
89,이천시,2
90,오산시,2
91,영덕군,2
92,양산시,2
93,고창군,2
94,장흥군,2
95,칠곡군,2
96,화천군,2
97,강화군,2
98,익산시,2
99,서대문구,2
100,마포구,2
101,구로구,2
102,창녕군,2
103,성동구,2
104,남동구,2
105,철원군,2
106,충주시,2
107,평택시,2
108,문경시,2
109,보령시,1
110,하남시,1
111,영양군,1
112,고흥군,1
113,예산군,1
114,달서구,1
115,홍성군,1
116,영주시,1
117,성주군,1
118,영광군,1
119,계양구,1
120,동작구,1
121,보은군,1
122,동대문구,1
123,중랑구,1
124,남양주시,1
125,광명시,1
126,사하구,1
127,부산진구,1
128,진천군,1
129,군포시,1
130,의정부시,1
131,서산시,1
132,포천시,1
133,광주시,1
134,해남군,1
135,양평군,1
136,의왕시,1
137,진주시,1
138,부천시,1
