,지역,언급수
0,제주시,79
1,서귀포시,67
2,강릉시,49
3,장흥군,27
4,경주시,26
5,동해시,23
6,여수시,19
7,속초시,19
8,인제군,17
9,단양군,16
10,양양군,14
11,고성군,13
12,거제시,12
13,해운대구,11
14,남구,11
15,포천시,11
16,순천시,11
17,북구,10
18,중구,10
19,평창군,9
20,제천시,9
21,춘천시,9
22,부안군,8
23,청송군,8
24,정선군,7
25,울진군,7
26,가평군,6
27,양산시,6
28,강서구,6
29,영덕군,6
30,정읍시,5
31,용산구,5
32,영월군,5
33,진도군,5
34,의성군,5
35,신안군,4
36,청양군,4
37,삼척시,4
38,기장군,4
39,사하구,4
40,태안군,4
41,봉화군,4
42,하동군,4
43,영등포구,4
44,양평군,4
45,해남군,4
46,파주시,4
47,군산시,4
48,통영시,4
49,충주시,4
50,진주시,4
51,장성군,4
52,광양시,3
53,원주시,3
54,영주시,3
55,밀양시,3
56,창녕군,3
57,의정부시,3
58,울주군,3
59,서구,3
60,김해시,3
61,울릉군,3
62,강화군,3
63,노원구,3
64,동구,3
65,영광군,3
66,성북구,3
67,안동시,2
68,서산시,2
69,홍천군,2
70,화성시,2
71,청도군,2
72,영도구,2
73,부산진구,2
74,동두천시,2
75,연천군,2
76,송파구,2
77,강남구,2
78,사상구,2
79,양주시,2
80,담양군,2
81,수영구,2
82,익산시,2
83,김제시,2
84,무주군,2
85,아산시,2
86,태백시,2
87,고창군,2
88,의령군,2
89,함양군,2
90,연제구,1
91,경산시,1
92,남양주시,1
93,구례군,1
94,사천시,1
95,문경시,1
96,영양군,1
97,논산시,1
98,영동군,1
99,강동구,1
100,남원시,1
101,마포구,1
102,보령시,1
103,음성군,1
104,순창군,1
105,안성시,1
106,김천시,1
107,김포시,1
108,금천구,1
109,서대문구,1
110,철원군,1
111,합천군,1
112,동래구,1
113,강진군,1
114,종로구,1
115,완주군,1
116,예산군,1
117,중랑구,1
118,유성구,1
119,영암군,1
120,상주시,1
121,광진구,1
122,동대문구,1
