,지역,언급수
0,서귀포시,55
1,제주시,45
2,경주시,27
3,강릉시,27
4,거제시,21
5,하동군,20
6,양양군,20
7,단양군,20
8,평창군,20
9,화천군,20
10,중구,18
11,공주시,18
12,철원군,18
13,고성군,18
14,태안군,17
15,예산군,17
16,동해시,17
17,무주군,16
18,속초시,16
19,화성시,15
20,여수시,15
21,부여군,14
22,고창군,13
23,종로구,13
24,서천군,12
25,안동시,12
26,동구,12
27,춘천시,11
28,북구,11
29,군산시,11
30,해운대구,11
31,광주시,10
32,담양군,10
33,통영시,10
34,음성군,10
35,남구,10
36,정선군,10
37,울주군,9
38,홍성군,8
39,홍천군,8
40,가평군,8
41,연수구,8
42,장흥군,8
43,목포시,8
44,완주군,8
45,삼척시,8
46,완도군,8
47,강화군,7
48,양주시,7
49,서초구,7
50,인제군,7
51,익산시,7
52,부안군,7
53,청도군,7
54,울릉군,7
55,합천군,7
56,영덕군,7
57,사천시,7
58,시흥시,6
59,파주시,6
60,해남군,6
61,송파구,6
62,광명시,6
63,서구,6
64,제천시,6
65,증평군,6
66,진도군,6
67,영광군,6
68,순천시,5
69,밀양시,5
70,용산구,5
71,남양주시,5
72,보령시,5
73,신안군,5
74,양평군,5
75,충주시,5
76,수영구,5
77,아산시,5
78,영도구,5
79,괴산군,5
80,거창군,4
81,문경시,4
82,영주시,4
83,광진구,4
84,태백시,4
85,연천군,4
86,보은군,4
87,울진군,4
88,포천시,4
89,서산시,4
90,하남시,4
91,금정구,4
92,고흥군,4
93,영암군,4
94,진안군,4
95,보성군,4
96,원주시,4
97,장성군,3
98,수성구,3
99,성동구,3
100,강남구,3
101,마포구,3
102,옹진군,3
103,진주시,3
104,봉화군,3
105,영월군,3
106,구례군,3
107,청송군,3
108,정읍시,2
109,함양군,2
110,여주시,2
111,남동구,2
112,순창군,2
113,기장군,2
114,은평구,2
115,남원시,2
116,금산군,2
117,사하구,2
118,양구군,2
119,영천시,2
120,논산시,2
121,의령군,2
122,나주시,2
123,성북구,2
124,영동군,2
125,창녕군,2
126,서대문구,2
127,횡성군,2
128,화순군,2
129,곡성군,2
130,예천군,2
131,김해시,1
132,달성군,1
133,칠곡군,1
134,계양구,1
135,강서구,1
136,진천군,1
137,양산시,1
138,부산진구,1
139,무안군,1
140,함안군,1
141,옥천군,1
142,김천시,1
143,동대문구,1
144,구리시,1
145,동래구,1
146,김제시,1
147,경산시,1
148,과천시,1
149,달서구,1
