,지역,언급수
0,경주시,84
1,중구,48
2,제주시,29
3,인제군,25
4,태안군,23
5,진도군,22
6,서귀포시,20
7,속초시,17
8,동구,17
9,남구,17
10,통영시,16
11,고성군,16
12,충주시,16
13,여수시,15
14,익산시,15
15,북구,15
16,강릉시,13
17,서천군,12
18,공주시,12
19,종로구,12
20,울주군,12
21,양양군,11
22,장흥군,11
23,신안군,11
24,제천시,10
25,가평군,10
26,울진군,10
27,고흥군,9
28,시흥시,9
29,평창군,9
30,거제시,8
31,부여군,8
32,사천시,8
33,예산군,8
34,정읍시,8
35,동해시,7
36,단양군,7
37,담양군,7
38,해운대구,7
39,성주군,7
40,안동시,6
41,봉화군,6
42,홍천군,6
43,울릉군,6
44,달성군,5
45,순천시,5
46,춘천시,5
47,문경시,5
48,남양주시,5
49,기장군,5
50,포천시,5
51,강서구,5
52,군산시,4
53,하동군,4
54,장수군,4
55,파주시,4
56,보성군,4
57,밀양시,4
58,산청군,4
59,고창군,4
60,강남구,4
61,옹진군,4
62,진안군,4
63,논산시,3
64,사하구,3
65,평택시,3
66,금산군,3
67,의왕시,3
68,영주시,3
69,화성시,3
70,영암군,3
71,무주군,3
72,보령시,3
73,서산시,3
74,김포시,3
75,거창군,3
76,칠곡군,3
77,부산진구,3
78,음성군,3
79,광주시,2
80,철원군,2
81,해남군,2
82,함평군,2
83,중랑구,2
84,영동군,2
85,부안군,2
86,청양군,2
87,강화군,2
88,양평군,2
89,용산구,2
90,도봉구,2
91,남원시,2
92,동작구,2
93,서초구,2
94,안성시,2
95,곡성군,2
96,수영구,2
97,태백시,2
98,영월군,2
99,삼척시,2
100,완주군,1
101,영도구,1
102,광산구,1
103,아산시,1
104,나주시,1
105,장성군,1
106,강진군,1
107,영광군,1
108,화순군,1
109,송파구,1
110,부천시,1
111,구로구,1
112,동래구,1
113,정선군,1
114,양구군,1
115,이천시,1
116,서구,1
117,청도군,1
118,합천군,1
119,수성구,1
120,김해시,1
121,진주시,1
122,하남시,1
123,연천군,1
124,연수구,1
125,군위군,1
126,양주시,1
127,영등포구,1
128,광진구,1
129,성동구,1
130,보은군,1
131,괴산군,1
132,청송군,1
133,임실군,1
134,강북구,1
135,강동구,1
136,화천군,1
137,원주시,1
138,여주시,1
